event,games,wins,winrate,baseline_winrate,lift,decisions
selected_land_grant,9,3,0.3333333333333333,0.1875,0.14583333333333331,12
selected_mana_ability,13,3,0.23076923076923078,0.1875,0.04326923076923078,77
selected_play_land,16,3,0.1875,0.1875,0.0,68
has_land_play_option,16,3,0.1875,0.1875,0.0,78
has_nonpass_option,16,3,0.1875,0.1875,0.0,1124
selected_pass,16,3,0.1875,0.1875,0.0,1282
selected_cast_spy,7,1,0.14285714285714285,0.1875,-0.04464285714285715,9
has_cast_spy_option,7,1,0.14285714285714285,0.1875,-0.04464285714285715,10
has_dread_return_option,2,0,0.0,0.1875,-0.1875,2
selected_cast_dread_return,1,0,0.0,0.1875,-0.1875,1
